Sector ,Source,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,Growth Rate (2009-2035)
Residential,Petroleum,85,83,78,79,77,75,74,73,72,71,70,69,68,67,66,65,65,64,63,62,62,61,61,60,60,59,59,58,-1.30%
Residential,Natural Gas,266,259,260,259,260,261,262,262,263,263,263,263,264,263,263,263,264,263,263,263,264,263,263,263,263,261,261,260,0.00%
Residential,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1.10%
Residential,Electricity,878,824,894,815,800,775,764,757,759,759,764,770,780,791,801,812,826,833,842,850,860,864,872,879,887,893,900,909,0.40%
Residential,Total,1229,1166,1233,1154,1138,1112,1101,1092,1095,1093,1097,1103,1112,1122,1131,1141,1156,1160,1169,1177,1187,1189,1196,1202,1210,1214,1220,1228,0.20%
Commercial,Petroleum,46,44,39,39,40,39,39,39,39,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,-0.60%
Commercial,Natural Gas,171,169,169,175,176,179,182,184,186,187,189,190,190,191,192,192,193,194,195,196,197,199,200,202,203,205,206,208,0.80%
Commercial,Coal,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.00%
Commercial,Electricity ,850,800,829,814,800,792,792,795,804,812,825,838,854,872,886,902,920,933,947,961,974,985,998,1010,1022,1035,1048,1063,1.10%
Commercial,Total,1074,1018,1042,1034,1022,1016,1018,1023,1034,1044,1058,1071,1088,1107,1121,1138,1157,1170,1185,1200,1214,1227,1241,1255,1269,1284,1298,1314,1.00%
Industrial ,Petroleum,376,343,366,373,403,411,410,410,411,410,406,404,402,404,405,404,402,402,401,400,400,400,400,402,403,404,405,405,0.60%
Industrial ,Natural Gas,407,383,412,432,444,465,476,489,491,492,495,497,500,498,494,494,493,492,491,490,490,491,493,493,493,493,493,493,1.00%
Industrial ,Coal,173,128,149,149,150,154,152,162,162,163,163,163,164,165,171,178,182,187,191,197,202,209,215,222,229,236,242,249,2.60%
Industrial ,Electricity,642,533,576,584,581,593,581,582,581,579,579,580,586,591,590,590,591,588,584,579,574,569,565,561,555,551,546,542,0.10%
Industrial ,Total,1598,1387,1503,1538,1578,1623,1619,1643,1644,1644,1643,1644,1651,1658,1660,1666,1669,1668,1667,1666,1666,1669,1673,1679,1680,1683,1686,1689,0.80%
Transportation,Petroleum ,1896,1816,1824,1834,1844,1867,1872,1878,1884,1884,1883,1881,1881,1893,1888,1889,1886,1892,1902,1911,1922,1927,1945,1961,1977,1992,2005,2023,0.40%
Transportation,Natural Gas,37,34,37,36,36,37,37,38,38,38,38,38,38,39,39,39,39,40,40,40,41,41,42,43,43,43,44,44,1.00%
Transportation,Electricity ,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,8,8,9,9,9,10,10,11,11,12,12,4.30%
Transportation,Total,1937,1854,1865,1875,1885,1909,1914,1921,1927,1927,1926,1924,1925,1937,1933,1935,1933,1940,1950,1959,1972,1978,1997,2014,2030,2047,2061,2080,0.40%
Electric Power,Petroleum,40,34,35,34,34,34,33,33,34,34,33,34,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,37,0.30%
Electric Power,Natural Gas,362,373,405,381,370,373,374,379,375,378,381,382,372,364,363,363,358,362,362,370,378,388,399,409,414,418,422,428,0.50%
Electric Power,Coal,1959,1742,1851,1789,1769,1744,1722,1714,1729,1731,1747,1766,1806,1850,1873,1901,1939,1951,1971,1982,1992,1994,1998,2004,2015,2024,2036,2049,0.60%
Electric Power,Other ,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.00%
Electric Power,Total,2374,2160,2303,2217,2185,2164,2141,2138,2149,2155,2173,2193,2225,2261,2283,2311,2345,2360,2381,2399,2417,2428,2444,2461,2476,2490,2507,2526,0.60%
TotalbyFuel,Petroleum ,2444,2319,2343,2360,2398,2427,2428,2434,2439,2437,2430,2425,2423,2436,2431,2431,2426,2430,2438,2445,2456,2461,2479,2496,2513,2529,2543,2561,0.40%
TotalbyFuel,Natural Gas,1243,1218,1282,1284,1287,1315,1331,1352,1351,1357,1365,1370,1365,1354,1351,1351,1348,1351,1352,1360,1370,1382,1398,1409,1416,1421,1426,1434,0.60%
TotalbyFuel,Coal,2139,1877,2006,1945,1925,1905,1881,1882,1898,1901,1917,1935,1977,2022,2050,2085,2128,2144,2169,2185,2201,2208,2219,2233,2250,2266,2285,2304,0.80%
TotalbyFuel,Other ,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.00%
TotalbyFuel,Total,5838,5426,5643,5601,5622,5659,5651,5680,5700,5707,5724,5742,5777,5825,5845,5879,5914,5938,5971,6002,6039,6063,6107,6150,6190,6227,6265,6311,0.60%
,Carbon Dioxide Emissions (tons carbon dioxide equivalent per person ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.1,17.6,18.2,17.8,17.7,17.7,17.5,17.4,17.3,17.2,17.1,16.9,16.9,16.9,16.8,16.7,16.7,16.6,16.5,16.5,16.4,16.3,16.3,16.3,16.3,16.2,16.2,16.2,-0.30%
